sentiment,tweet_year,tweet_month,tweet_day,tweet_weekday,tweet_hour,tweet_quarter,text_length,word_count
positive,2017,10,31,1,22,4,124,18
neutral,2017,10,31,1,22,4,136,25
negative,2017,10,31,1,22,4,70,11
neutral,2017,10,31,1,20,4,162,25
neutral,2017,10,31,1,22,4,131,22
positive,2017,10,31,1,22,4,119,22
neutral,2017,10,31,1,18,4,110,16
positive,2017,10,31,1,22,4,131,21
positive,2017,10,12,3,10,4,142,28
neutral,2017,10,31,1,20,4,48,7
neutral,2017,10,31,1,18,4,64,9
neutral,2017,10,31,1,18,4,115,17
neutral,2017,10,31,1,22,4,80,14
neutral,2017,10,31,1,22,4,68,14
negative,2017,10,31,1,22,4,136,26
neutral,2017,10,31,1,22,4,90,13
neutral,2017,10,31,1,21,4,57,9
neutral,2017,10,31,1,22,4,92,10
negative,2017,10,31,1,22,4,121,22
negative,2017,10,31,1,22,4,134,23
negative,2017,10,31,1,22,4,62,11
negative,2017,10,31,1,22,4,133,27
neutral,2017,10,31,1,22,4,58,9
positive,2017,10,31,1,22,4,93,17
negative,2017,10,31,1,20,4,119,21
neutral,2017,10,31,1,22,4,47,9
neutral,2017,10,31,1,22,4,114,20
neutral,2017,10,31,1,22,4,57,11
neutral,2017,10,31,1,22,4,156,24
neutral,2017,10,20,4,8,4,139,24
positive,2017,10,31,1,22,4,114,21
neutral,2017,10,31,1,23,4,88,18
negative,2017,10,31,1,23,4,138,24
neutral,2017,10,31,1,22,4,81,15
positive,2017,10,31,1,23,4,119,20
neutral,2017,10,31,1,23,4,64,8
positive,2017,10,31,1,23,4,127,22
neutral,2017,10,31,1,23,4,139,17
neutral,2017,10,31,1,21,4,163,23
neutral,2017,10,31,1,23,4,131,24
neutral,2017,10,31,1,23,4,159,25
neutral,2017,10,31,1,23,4,62,6
neutral,2017,10,31,1,23,4,62,10
positive,2017,10,31,1,23,4,159,21
neutral,2017,10,31,1,23,4,117,7
negative,2017,10,31,1,23,4,140,24
negative,2017,10,31,1,23,4,111,21
positive,2017,10,31,1,21,4,98,20
negative,2017,10,31,1,23,4,38,7
neutral,2017,10,31,1,23,4,98,17
positive,2017,10,31,1,23,4,132,25
negative,2017,10,31,1,23,4,119,23
neutral,2017,10,31,1,23,4,82,13
negative,2017,10,31,1,23,4,97,16
positive,2017,10,31,1,23,4,108,18
positive,2017,10,31,1,23,4,140,22
neutral,2017,10,31,1,23,4,133,22
negative,2017,10,31,1,23,4,105,16
neutral,2017,10,9,0,0,4,81,9
negative,2017,10,9,0,0,4,112,21
positive,2017,10,9,0,0,4,140,25
negative,2017,10,8,6,23,4,133,25
neutral,2017,10,9,0,0,4,85,17
positive,2017,10,9,0,0,4,129,21
neutral,2017,11,5,6,20,4,100,18
positive,2017,11,5,6,20,4,107,19
negative,2017,11,5,6,20,4,131,20
positive,2017,11,4,5,17,4,135,25
negative,2017,11,5,6,15,4,145,24
negative,2017,11,5,6,20,4,140,28
neutral,2017,10,31,1,23,4,47,4
positive,2017,10,31,1,20,4,140,24
neutral,2017,10,31,1,23,4,119,19
neutral,2017,10,31,1,23,4,126,15
neutral,2017,10,31,1,23,4,99,15
positive,2017,10,31,1,23,4,155,23
positive,2017,10,31,1,23,4,125,25
positive,2017,11,1,2,0,4,120,17
positive,2017,11,1,2,0,4,117,23
neutral,2017,11,1,2,0,4,100,2
neutral,2017,11,1,2,0,4,86,13
positive,2017,11,1,2,0,4,136,23
positive,2017,10,31,1,23,4,104,22
positive,2017,10,31,1,23,4,139,27
positive,2017,10,31,1,21,4,139,28
negative,2017,10,31,1,23,4,75,12
neutral,2017,10,31,1,23,4,117,19
neutral,2017,10,31,1,23,4,53,10
neutral,2017,11,1,2,0,4,153,25
positive,2017,11,1,2,0,4,127,21
positive,2017,11,1,2,0,4,98,20
neutral,2017,11,1,2,0,4,82,12
positive,2017,11,1,2,0,4,97,19
positive,2017,11,1,2,0,4,136,22
neutral,2017,11,1,2,0,4,126,21
neutral,2017,11,1,2,0,4,100,17
neutral,2017,11,1,2,0,4,109,22
positive,2017,11,1,2,0,4,97,17
positive,2017,11,1,2,0,4,138,19
neutral,2017,11,1,2,0,4,79,13
negative,2017,11,1,2,0,4,132,26
negative,2017,11,1,2,0,4,135,23
neutral,2017,11,1,2,0,4,163,26
positive,2017,10,27,4,19,4,119,19
negative,2017,11,1,2,0,4,156,23
negative,2017,11,1,2,0,4,87,16
positive,2017,11,1,2,0,4,163,24
neutral,2017,11,1,2,1,4,138,22
positive,2017,11,1,2,1,4,86,14
neutral,2017,10,30,0,14,4,97,13
